"lot_id","car_id","seller_id","buyer_id","lot_number","date_start","date_finish","estimated_price_min","estimated_price_max","sold_price","status"
1,6,12,,106,2022-01-01,2022-01-02,15000000.00,20000000.00,,Passed
2,6,12,1,206,2023-01-01,2023-01-02,15000000.00,20000000.00,18000000.00,Sold
3,1,5,1,101,2023-05-10,2023-05-11,2000000.00,2500000.00,2400000.00,Sold
4,2,6,2,102,2023-06-15,2023-06-16,2200000.00,2800000.00,2650000.00,Sold
5,3,7,4,103,2023-07-20,2023-07-21,1800000.00,2200000.00,2100000.00,Sold
6,5,8,3,105,2023-08-12,2023-08-13,1500000.00,2000000.00,1900000.00,Sold
7,8,10,14,108,2023-09-01,2023-09-02,10000000.00,15000000.00,12000000.00,Sold
8,10,13,1,110,2023-10-10,2023-10-11,800000.00,1200000.00,1100000.00,Sold
9,4,15,1,104,2023-11-05,2023-11-06,40000000.00,50000000.00,48000000.00,Sold
10,11,20,11,111,2023-12-01,2023-12-02,200000.00,350000.00,310000.00,Sold
11,12,2,9,112,2024-01-15,2024-01-16,3000000.00,4000000.00,3800000.00,Sold
12,13,19,10,113,2024-02-10,2024-02-11,2500000.00,3500000.00,3200000.00,Sold
13,14,18,7,114,2024-03-05,2024-03-06,500000.00,800000.00,750000.00,Sold
14,15,17,15,115,2024-04-12,2024-04-13,2000000.00,3000000.00,2800000.00,Sold
15,16,16,16,116,2024-05-20,2024-05-21,1000000.00,1500000.00,,Passed
16,17,14,13,117,2024-06-01,2024-06-02,200000.00,300000.00,250000.00,Sold
17,18,4,18,118,2024-07-14,2024-07-15,1000000.00,1500000.00,1350000.00,Sold
18,19,3,19,119,2024-08-10,2024-08-11,400000.00,600000.00,580000.00,Sold
19,20,2,20,120,2024-09-20,2024-09-21,100000.00,200000.00,150000.00,Sold
20,9,6,6,109,2024-10-05,2024-10-06,150000.00,250000.00,210000.00,Sold
