"collector_id","first_name","last_name","country","city"
1,Jay,Leno,USA,Burbank
2,Ralph,Lauren,USA,New York
3,Jerry,Seinfeld,USA,New York
4,Nick,Mason,UK,London
5,Ken,Lingenfelter,USA,Brighton
6,Magnus,Walker,UK,Los Angeles
7,David,Lee,USA,Los Angeles
8,Gordon,Ramsey,UK,London
9,Lewis,Hamilton,UK,Monaco
10,Cristiano,Ronaldo,Portugal,Lisbon
11,Manny,Khoshbin,USA,Irvine
12,Rowan,Atkinson,UK,Oxford
13,Miles,Collier,USA,Naples
14,Lawrence,Stroll,Canada,Montreal
15,Horacio,Pagani,Italy,Modena
16,Bruce,Meyer,USA,Beverly Hills
17,Rob,Walton,USA,Bentonville
18,Evert,Louwman,Netherlands,The Hague
19,James,Glickenhaus,USA,Sleepy Hollow
20,Khalid,Abdul Rahim,Bahrain,Manama
