"designer_id","name","country","birth_year","notes"
1,Marcello Gandini,Italy,1938,"Worked for Bertone, designed Miura and Countach."
2,Giorgetto Giugiaro,Italy,1938,"Founder of Italdesign, Car Designer of the Century."
3,Leonardo Fioravanti,Italy,1938,Designed classic Ferraris at Pininfarina.
4,Ian Callum,UK,1954,Known for Aston Martin DB9 and Jaguar F-Type.
5,Gordon Murray,South Africa,1946,Designer of the McLaren F1.
6,Horacio Pagani,Argentina,1955,Founder of Pagani Automobili.
7,Sergio Scaglietti,Italy,1920,Famous for Ferrari 250 Testa Rossa.
8,Bruno Sacco,Italy,1933,Head of design at Mercedes-Benz for decades.
9,Malcolm Sayer,UK,1916,"Aerodynamicist, designed Jaguar E-Type."
10,Battista Pininfarina,Italy,1893,Founder of Pininfarina design house.
11,Ercole Spada,Italy,1937,"Worked for Zagato, designed Aston Martin DB4 GT."
12,Peter Stevens,UK,1943,Worked on McLaren F1 and Lotus Esprit.
13,Frank Stephenson,Morocco,1959,"Designed BMW Mini, Fiat 500, and McLaren MP4-12C."
14,Walter de Silva,Italy,1951,Designed Alfa Romeo 156 and Audi R8.
15,Peter Schreyer,Germany,1953,Known for Audi TT design.
16,Robert Opron,France,1932,Designed Citroën SM and Alpine A310.
17,Adrian Newey,UK,1958,"F1 engineer, designed Aston Martin Valkyrie."
18,Marek Reichman,UK,1966,Chief Creative Officer at Aston Martin.
19,Ferdinand Alexander Porsche,Germany,1935,Designer of the Porsche 911.
20,Shiro Nakamura,Japan,1950,Designed Nissan GT-R and 350Z.
